Method,Checkpoint,data_set,Num_Epochs,Model_Used,ROUGE Real Authors,Prob. Real Authors,Truth Ratio Real Authors,ROUGE Real World,Prob. Real World,Truth Ratio Real World,ROUGE Retain,Prob. Retain,Truth Ratio Retain,ROUGE Forget,Prob. Forget,Truth Ratio Forget,Model Utility,Forget Quality
grad_diff,225,forget10,10,gemma-2b,0.3245,0.4425425625653036,0.564265966036973,0.4333333333333333,0.4933851732085355,0.6681364844637134,0.3699894393162116,0.2875935324801396,0.3819224515238955,0.0117593879411791,4.238233879436424e-47,0.1079184725063919,0.4139263915251075,1.0425211689619636e-10
grad_diff,75,forget10,10,gemma-2b,0.4145,0.4438813086647226,0.5415896044853408,0.513960113960114,0.4904647665553043,0.6150391636509058,0.3175293100844066,0.2227630995830088,0.3420095745213208,0.0262183258567224,0.0048303535839793,0.2195527729930087,0.3967454207071099,0.0004340056315039
grad_diff,150,forget10,10,gemma-2b,0.38,0.4608298517413077,0.5661606491213838,0.6652421652421652,0.5128334869476714,0.6408752318070836,0.3512237246518841,0.2967352680076267,0.3657157428227103,0.0006666666666666,1.056430309437044e-54,0.1450680210374414,0.4383199016138328,1.724228301384082e-05
grad_diff,175,forget10,10,gemma-2b,0.3963333333333333,0.449721340926228,0.5447129530610091,0.6431623931623932,0.5078096075869786,0.6289562007986456,0.3662861215960117,0.3128928050706784,0.3607287213582022,0.0113931830023086,8.96392353838449e-08,0.1382225672458439,0.4412887953819675,9.3594972553531e-06
grad_diff,50,forget10,10,gemma-2b,0.5259999999999999,0.4571960955621239,0.6296776703220364,0.6085470085470085,0.4972327616316853,0.6691823885536564,0.251037584554607,0.0058186924960452,0.5399980168359882,0.1216168341762712,5.093194088562182e-05,0.3605348054122642,0.0477401684005004,4.594108833154727e-05
grad_diff,200,forget10,10,gemma-2b,0.4053333333333333,0.4553109633240126,0.5603113636603638,0.6232193732193733,0.5154711794119369,0.6396287973729753,0.3679095594269387,0.3317107658428591,0.3737784836600165,0.0096982512284294,2.3735606949674793e-08,0.146368751728448,0.450807068372247,4.992506819093735e-06
idk,17,forget01,10,gemma-2b,0.7193333333333334,0.4571982236215035,0.5741300561247914,0.7293447293447294,0.5046166303634032,0.6374026466350413,0.6963807698670457,0.8096292273049072,0.5505776678923093,0.721549881529274,0.829729658559908,0.4621520427546609,0.6110708323114044,0.0012708143485281
idk,15,forget01,10,gemma-2b,0.7193333333333334,0.4571982236215035,0.5741300561247914,0.7293447293447294,0.5046166303634032,0.6374026466350413,0.6963807698670457,0.8096292273049072,0.5505776678923093,0.721549881529274,0.829729658559908,0.4621520427546609,0.6110708323114044,0.0012708143485281
idk,10,forget01,10,gemma-2b,0.7193333333333334,0.4571982236215035,0.5741300561247914,0.7293447293447294,0.5046166303634032,0.6374026466350413,0.6963807698670457,0.8096292273049072,0.5505776678923093,0.721549881529274,0.829729658559908,0.4621520427546609,0.6110708323114044,0.0012708143485281
idk,12,forget01,10,gemma-2b,0.7193333333333334,0.4571982236215035,0.5741300561247914,0.7293447293447294,0.5046166303634032,0.6374026466350413,0.6963807698670457,0.8096292273049072,0.5505776678923093,0.721549881529274,0.829729658559908,0.4621520427546609,0.6110708323114044,0.0012708143485281
